5300 2 2
97 2 0.431 -1.33
98 2 -0.0583 -1.15
99 1 -0.209 0.345
100 1 1.26 -1.37
101 1 -1.78 -0.378
102 1 0.98 -0.0439
103 2 -0.0536 1.6
104 1 -1.39 -0.451
105 1 1.22 -0.361
106 2 1.22 0.561
107 1 -0.838 0.356
108 2 -0.446 -0.861
109 1 1.17 -1.39
110 2 -0.0868 -1.33
111 2 -1.12 0.576
112 2 -0.28 -1.3
113 1 -0.0269 0.958
114 2 -0.697 1.35
115 1 1.38 -1.74
116 2 0.408 1.16
117 1 1.2 1.54
118 1 2.07 1.02
119 1 -0.462 -0.187
120 2 1.27 0.589
121 2 -0.101 -0.765
122 2 -0.819 1.26
123 1 0.615 -0.0228
124 1 -1.79 -0.98
125 1 -1.79 -0.954
126 1 0.826 1.5
127 2 0.845 0.766
128 2 -0.476 -1.49
129 2 1.01 0.48
130 2 1.39 -0.376
131 2 0.357 -1.07
132 2 0.77 1.4
133 1 -1.08 0.114
134 2 -0.795 -1.43
135 1 0.706 1.38
136 1 -1.26 0.23
137 2 -0.833 -0.569
138 2 -0.0303 2.11
139 1 -0.223 -0.419
140 2 -0.562 -0.873
141 2 0.926 0.972
142 1 -1.86 -1.57
143 2 -0.806 0.941
144 1 -0.214 0.38
145 1 0.744 1.42
146 2 1.94 -0.65
147 1 1.77 1.35
148 1 -0.903 0.101
149 2 -0.0418 -1.02
150 1 0.309 -0.175
151 2 -0.634 -0.969
152 2 -1.62 0.102
153 2 -1.21 1.27
154 2 0.529 0.133
155 2 0.386 1.55
156 1 -0.0962 0.19
157 2 -0.536 1.13
158 1 1.02 -0.261
159 2 -0.876 -1
160 1 2.35 1.21
161 2 -0.982 -1.08
162 1 -1.16 0.469
163 2 -1.74 0.693
164 2 -1.1 1.16
165 1 0.0179 -0.7
166 2 -0.62 -0.984
167 2 -1.52 0.66
168 1 1.07 -0.985
169 2 0.917 0.525
170 2 -0.0482 1.52
171 1 1.49 1.55
172 2 -0.584 1.01
173 1 -0.0625 -0.12
174 2 -1.68 1.08
175 1 -1.77 -0.923
176 1 -0.202 0.712
177 1 1.06 -0.427
178 1 1.71 1.1
179 2 -1.7 0.872
180 1 1.86 1.14
181 1 -0.529 -0.357
182 2 -0.411 -1.3
183 1 0.666 1.36
184 2 0.162 -0.791
185 1 -0.296 0.255
186 2 -0.0347 1.3
187 2 0.294 -1.5
188 2 -0.52 -1.17
189 1 0.741 -1.2
190 2 -1.33 1.08
191 1 -0.0987 0.966
192 2 0.0131 -0.969
193 1 0.896 1.58
194 1 -0.412 0.492
195 2 0.683 1.07
196 1 -0.753 -0.0615
197 2 -0.0674 1.85
198 2 1.08 0.683
199 2 1.15 0.243
200 1 0.497 -0.671
201 2 0.174 1.92
202 2 1.64 0.0477
203 2 -0.478 -0.796
204 2 -0.447 -1
205 1 -1.04 -0.2
206 2 2.06 -0.482
207 2 -0.89 -1.17
208 2 0.312 -1.23
209 1 0.976 -1.39
210 2 0.291 -0.795
211 1 0.303 -0.143
212 1 1.1 -0.695
213 1 0.579 -1.02
214 2 -1.54 0.685
215 1 0.916 0.144
216 2 1.18 0.614
217 2 0.254 -0.862
218 1 -0.877 -0.401
219 1 1.97 0.99
220 2 0.471 1.39
221 2 1.63 0.475
222 2 0.945 0.309
223 2 0.121 -1.3
224 1 1.06 -0.69
225 1 1.42 -0.32
226 1 0.535 0.504
227 2 0.912 -0.114
228 2 -0.75 1.14
229 1 1.14 -0.209
230 2 -1.03 -1.09
231 1 0.268 -1.08
232 1 -1.77 -0.828
233 1 0.378 -0.0609
234 1 1.19 0.113
235 2 -0.168 1.32
236 1 2.07 1.21
237 2 -1.07 0.707
238 2 -1.19 0.309
239 2 1.19 0.697
240 2 0.121 1.72
241 1 1.23 -0.0582
242 1 0.44 0.399
243 2 -0.723 0.633
244 2 -0.63 0.949
245 1 0.143 0.263
246 1 1.23 -0.615
247 2 1.9 -0.0565
248 2 1.22 -0.0172
249 1 0.0107 0.0258
250 1 0.36 -0.715
251 2 0.139 -1.01
252 2 0.308 -1.06
253 1 -0.645 -0.238
254 2 1.15 0.715
255 2 -0.531 -1.27
256 2 1.05 0.701
257 2 0.0681 -0.76
258 2 -0.595 1.46
259 2 0.72 0.989
260 1 -1.86 -0.963
261 2 0.0692 -0.828
262 2 0.863 0.765
263 2 -0.574 1.32
264 2 -0.467 -1.51
265 2 1.43 0.484
266 2 -0.592 -1.17
267 1 0.122 -0.041
268 2 0.909 0.118
269 2 -0.705 -0.93
270 2 1.05 0.453
271 2 -0.786 -1.33
272 2 0.07 1.7
273 2 -0.36 -1.28
274 2 -1.25 0.985
275 1 1.33 1.42
276 1 0.778 -0.694
277 1 -1.87 -1.26
278 2 0.178 1.49
279 2 -1.03 1.18
280 1 -0.956 -0.818
281 2 0.0345 -0.691
282 1 -1.25 0.512
283 2 -0.187 -1.38
284 2 -1.24 1
285 1 0.329 -0.37
286 1 -1.37 -0.803
287 2 0.529 1.62
288 2 -0.23 1.08
289 2 -0.619 -0.748
290 2 -0.914 1.07
291 2 0.163 -1.31
292 1 1.19 -1.34
293 1 0.983 -1.31
294 1 -1.63 -1.41
295 1 -1.02 -0.296
296 1 -0.387 0.26
297 1 -1.59 -1
298 2 1.69 -0.724
299 1 -0.869 -0.0393
300 1 -1.9 0.106
301 2 -1.75 0.722
302 2 -1.06 -1.07
303 2 -0.509 -1.41
304 1 -0.112 -0.841
305 2 1.08 0.79
306 2 0.498 0.567
307 2 -0.796 -1.63
308 2 -0.3 -1.04
309 2 -2.34 0.246
310 1 0.842 -1.41
311 2 -0.0263 -1.35
312 2 0.586 1.15
313 2 1.87 -0.239
314 2 0.404 -0.868
315 1 0.564 -1.13
316 1 -0.0584 0.54
317 1 -1.58 -1.26
318 1 -0.813 -0.57
319 1 -0.579 -0.748
320 2 -1.35 1.32
321 2 -0.639 -0.938
322 2 1.49 -0.00779
323 1 0.719 0.0781
324 2 0.0346 1.7
325 1 -0.274 0.0468
326 1 0.207 0.0304
327 2 1.63 -0.251
328 2 -0.207 -0.745
329 2 -0.717 1
330 1 1.17 -0.567
331 2 0.661 1.69
332 2 -1.13 0.6
333 2 -0.109 -1.25
334 2 0.68 0.702
335 2 0.867 0.81
336 2 -0.562 -1.01
337 2 1.79 -0.102
338 1 -1.87 -1.1
339 1 -0.946 -0.197
340 1 0.812 -0.195
341 1 0.287 -0.517
342 2 0.262 -0.673
343 2 -0.358 -1.02
344 2 -0.392 -1.27
345 2 -1.2 -1.02
346 2 -0.337 -1.45
347 1 -1.54 -0.643
348 2 0.311 1.76
349 2 -0.473 -0.749
350 2 1.71 0.0217
351 2 1.88 -0.368
352 1 -1.18 -0.0978
353 1 0.0431 -0.0199
354 2 1.23 0.354
355 1 0.0788 -0.0998
356 2 0.0544 -1.59
357 1 -0.24 1.72
358 2 -0.496 -1.09
359 2 -0.636 1.35
360 2 1.15 0.634
361 1 1.29 -1.43
362 2 -0.983 1.06
363 1 -0.206 -0.474
364 1 0.298 -0.829
365 2 -0.972 -1.06
366 2 1.21 0.354
367 1 0.328 1.71
368 2 0.313 -1.07
369 1 -1.24 -0.352
370 1 -1.39 -0.68
371 1 1.2 -1.56
372 1 -0.208 0.332
373 2 0.553 1.54
374 2 0.354 -1.19
375 2 -0.74 -1.53
376 2 -0.769 1.35
377 2 -0.0381 -0.791
378 1 -0.102 -0.13
379 1 -1.06 0.496
380 2 -0.481 1.09
381 1 0.866 -0.917
382 2 1.06 0.266
383 1 1.73 1.68
384 2 -0.516 -0.935
385 2 -0.893 -1.27
386 1 1.2 -0.948
387 2 0.763 1.15
388 2 0.794 0.762
389 1 -0.314 0.0194
390 2 -0.456 1.55
391 2 1.04 0.563
392 1 -0.0978 -0.424
393 2 1.37 -0.643
394 1 -0.201 0.0726
395 2 -1.97 0.611
396 1 0.99 -0.0762
397 2 1.28 0.902
398 1 0.569 1.62
399 1 -1.2 -0.451
400 2 -0.508 1.48
401 2 -1.69 -0.175
402 2 -0.298 -1.26
403 2 0.301 -1.17
404 2 0.975 1.48
405 1 -0.853 -0.254
406 1 0.837 1.75
407 2 0.379 1.36
408 1 -0.364 -0.0828
409 1 0.939 -0.351
410 2 1.24 0.554
411 1 1.37 -0.331
412 2 -0.48 -0.913
413 2 1.34 -0.261
414 2 0.286 1.23
415 2 0.672 2.03
416 2 -0.52 -1.52
417 2 -0.513 1.29
418 2 -0.648 -0.631
419 1 -0.113 -0.197
420 1 0.103 0.329
421 2 -0.941 0.976
422 1 -0.533 -0.402
423 1 1.09 -1.59
424 2 -0.395 -0.756
425 1 1.46 -0.417
426 2 -0.724 -1.26
427 1 -1.59 -0.98
428 2 0.159 1.51
429 2 -0.843 1.4
430 2 -0.581 -1.27
431 2 -0.268 -1.26
432 1 -1.58 -0.842
433 2 -0.52 1.2
434 1 -0.0203 1.92
435 2 -1.52 0.934
436 2 1.05 0.444
437 1 0.351 -0.0402
438 2 -0.322 -1.12
439 2 -0.654 -0.999
440 2 0.165 -1.58
441 1 2.6 0.951
442 2 1.52 -0.0653
443 1 -1.29 -0.529
444 2 1.18 0.392
445 2 -0.00264 -1.02
446 2 1.24 0.273
447 2 1.45 0.398
448 2 0.54 -1.26
449 2 -0.324 -1.03
450 1 -1.69 -1.2
451 2 -0.455 0.868
452 1 2.16 1.16
453 2 -0.232 -1.4
454 2 0.685 1.69
455 2 -0.0537 -1.52
456 2 1.03 0.548
457 2 -0.758 -1.21
458 1 -0.259 0.496
459 1 -0.472 0.411
460 2 -0.127 -1.33
461 2 -0.784 -1.05
462 1 -1.73 -1.32
463 1 -1.24 -0.919
464 2 0.275 -0.987
465 2 1.66 0.672
466 2 -1.07 0.963
467 2 -0.262 1.28
468 1 -1.4 -0.37
469 1 -0.288 0.305
470 1 0.778 1.44
471 2 1.23 -0.493
472 1 -1.27 -0.273
473 2 -0.994 1.14
474 1 0.74 1.2
475 2 0.489 0.904
476 1 0.805 -0.237
477 1 -1.86 -1.47
478 2 -0.617 -1.02
479 2 -0.66 0.965
480 1 0.487 -0.13
481 2 -0.0508 -1.19
482 1 0.96 -0.522
483 2 -1.21 0.778
484 2 0.149 1.98
485 1 -1.76 -0.903
486 1 0.0486 -0.389
487 2 -0.891 1
488 2 0.263 -1.48
489 2 1.21 1.28
490 1 -1.46 0.0829
491 2 -1.04 1.19
492 1 -1.69 -0.542
493 1 0.707 0.0524
494 2 1.31 -0.254
495 1 -0.488 -0.566
496 2 1.8 -0.811
497 1 1.84 1.18
498 2 1.49 -0.156
499 2 -0.881 -1.59
500 1 0.529 0.788
501 1 0.571 0.197
502 2 -2.07 0.0318
503 1 -1.23 -0.308
504 2 0.682 1.5
505 1 -1.33 0.0398
506 1 -1.35 0.424
507 2 0.307 -0.678
508 1 0.859 -0.952
509 1 -0.672 0.683
510 2 1.36 0.258
511 2 -0.37 1.48
512 1 -1.9 -1.1
513 1 -1.38 -0.32
514 2 0.234 0.958
515 1 -1.01 -0.771
516 1 -0.739 0.578
517 2 -0.107 -1.5
518 2 0.592 0.973
519 2 0.52 1.21
520 1 0.416 1.86
521 1 -0.181 0.344
522 2 1.27 -0.441
523 1 0.422 -0.934
524 2 -0.704 -0.802
525 2 0.088 -1.25
526 2 0.952 0.427
527 2 1.39 -0.218
528 2 -1.08 -1.3
529 2 1.25 -0.35
530 2 0.183 -1.21
531 2 -0.0765 -1.12
532 1 -0.407 0.602
533 2 0.975 0.809
534 1 -0.0552 0.882
535 2 -0.946 1.02
536 2 1.11 -0.106
537 2 -0.794 1.07
538 2 -0.652 -1.1
539 1 -2.08 -1.78
540 2 -0.631 -0.867
541 2 -0.856 -1.31
542 2 -0.215 -1.01
543 1 -1.12 0.154
544 1 -1.1 0.135
545 2 -0.134 -1.1
546 2 0.844 0.243
547 1 0.472 0.289
548 2 1.64 0.174
549 1 -0.413 -0.0275
550 1 -0.875 0.591
551 1 -0.404 0.178
552 1 -0.297 -0.467
553 2 -0.698 -1.26
554 2 1.2 0.298
555 2 -0.346 -1.5
556 1 -1.14 -0.494
557 1 -0.0242 -0.659
558 2 -0.495 -1.2
559 2 -0.803 -0.782
560 1 -0.641 0.516
561 2 -0.0874 -0.948
562 2 -1.04 0.679
563 1 0.701 0.0237
564 2 -0.677 -1.41
565 1 -0.516 0.831
566 2 -0.864 -1.56
567 1 0.863 -1.02
568 1 -1.12 0.559
569 2 -0.779 -1.14
570 2 -0.9 1.49
571 1 2.43 1.39
572 1 -1.67 -1.73
573 1 0.743 -1.18
574 1 -1.52 -0.658
575 1 1.28 -0.176
576 1 1.58 -1.29
577 2 0.61 0.488
578 1 -2.15 -0.858
579 1 -0.0307 0.678
580 2 -0.227 -1.19
581 1 0.642 1.65
582 1 -1.58 -1.25
583 2 0.373 1.48
584 1 0.333 -0.845
585 1 -1.18 -0.758
586 1 1.15 -1.52
587 1 -0.601 -0.539
588 1 -1.57 -1.74
589 1 0.652 -0.646
590 2 -1.43 1.26
591 1 0.71 0.0529
592 2 1.18 0.585
593 1 -1.01 -1.27
594 2 0.13 1.38
595 1 0.469 -0.321
596 2 -1.08 0.72
597 2 0.987 0.858
598 2 1.57 -0.389
599 1 -0.411 0.727
600 1 -0.72 0.189
601 1 -0.00329 -0.0777
602 1 -0.937 -0.086
603 1 2.21 1.02
604 2 -0.606 -0.997
605 2 1.4 0.377
606 1 0.37 0.312
607 1 -1.41 -0.214
608 2 -0.192 1.66
609 1 -0.0246 -0.141
610 2 1.07 -0.0433
611 2 -0.477 -1.25
612 1 -1.35 -0.485
613 2 0.996 0.225
614 2 -1.25 -1.28
615 1 -0.198 1.67
616 1 -0.8 -0.282
617 1 0.168 0.345
618 2 0.851 1.46
619 1 1.45 -1.24
620 2 -1.02 -1.18
621 2 -1.31 0.916
622 1 -0.457 -0.322
623 2 0.0744 1.04
624 1 0.902 -1.08
625 2 -0.904 0.953
626 2 -0.11 -0.911
627 1 1.01 -1.05
628 2 0.441 -1.13
629 1 -0.287 -0.726
630 1 0.205 -0.471
631 2 -0.625 1.14
632 1 -0.623 -0.737
633 2 -0.254 -0.932
634 2 -0.817 -1.19
635 2 -1.73 0.87
636 2 0.176 1.94
637 1 0.899 -0.235
638 1 0.834 -0.584
639 1 0.15 -0.256
640 1 -1.23 -0.336
641 1 0.866 -0.807
642 2 1.07 0.0877
643 2 -0.256 1.52
644 2 2.34 -1.25
645 2 -0.374 -1.08
646 2 -1.16 0.381
647 1 -1.3 -1.17
648 1 0.527 -0.251
649 1 -0.748 -0.57
650 2 1.02 0.997
651 1 0.105 0.103
652 1 0.563 0.137
653 1 0.317 -0.0233
654 2 0.15 1.3
655 1 -1.31 0.00723
656 2 1.42 -0.146
657 1 0.576 1.7
658 1 -0.106 -0.316
659 2 -1.2 0.932
660 2 -1.14 0.488
661 2 -0.151 1.66
662 1 -1.46 -0.909
663 2 1.36 -0.425
664 2 1.41 0.83
665 2 0.176 -1.11
666 2 -0.526 1.26
667 1 0.552 -1.07
668 1 -1.14 0.304
669 1 -1.64 0.143
670 2 -0.189 -1.24
671 1 0.775 0.0171
672 2 -0.598 1.22
673 1 -1.71 -1.29
674 2 1.52 0.409
675 2 0.548 -0.959
676 1 -0.636 -0.988
677 2 -0.0723 -1.08
678 1 0.0949 -0.854
679 2 0.726 0.289
680 2 1.43 0.147
681 1 -0.0238 0.000407
682 1 0.939 1.69
683 2 -1.29 0.511
684 1 0.324 1.68
685 2 -0.506 -1.09
686 2 0.341 -1.32
687 2 -0.978 0.931
688 1 -1.31 -0.229
689 2 1.29 0.677
690 1 1.01 -0.94
691 1 0.0219 -0.388
692 2 -0.647 -1.22
693 2 -0.31 -1.38
694 1 -0.146 0.132
695 2 1.38 0.877
696 2 0.24 -1.14
697 2 -1.01 -1.53
698 1 1.21 -1.02
699 2 -0.623 1.24
700 2 -1.42 0.83
701 2 -0.0908 -0.846
702 1 1.39 -0.872
703 1 0.502 -0.536
704 2 -0.046 1.51
705 1 -1.35 -1.19
706 2 1.77 0.109
707 2 -0.166 -0.986
708 2 0.152 1.53
709 2 0.308 0.933
710 1 -1.11 0.439
711 1 -1.87 -0.451
712 1 -1.66 -0.735
713 2 1.18 0.424
714 2 -0.109 -0.884
715 1 0.243 0.304
716 2 1.04 0.816
717 2 0.514 1.27
718 2 -0.145 1.67
719 1 0.169 1.86
720 2 -0.984 -0.807
721 2 0.379 -0.755
722 1 -1.11 0.655
723 2 -0.918 1.13
724 2 -0.43 -0.722
725 1 -1.62 -1.85
726 1 0.377 0.198
727 2 -0.329 -0.858
728 2 0.125 2.16
729 2 -0.108 -1.3
730 1 -0.118 1.7
731 2 0.826 0.744
732 2 -1.1 0.811
733 1 1.2 -0.598
734 1 -1.89 -0.727
735 2 1.45 0.229
736 1 0.833 -0.254
737 1 -1.7 -0.845
738 1 0.272 1.82
739 2 0.179 1.81
740 2 -0.951 0.533
741 1 -1.07 0.534
742 2 -0.874 0.922
743 2 -0.0715 1.41
744 1 0.195 -0.296
745 2 0.373 -1.17
746 1 0.808 -0.831
747 2 -0.504 1.03
748 2 1.39 0.262
749 2 1.12 0.862
750 1 0.755 0.22
751 2 1.57 -0.114
752 1 1.32 1.36
753 2 0.802 0.133
754 1 -0.558 0.572
755 1 0.27 0.696
756 1 -0.606 -0.546
757 1 -0.556 -0.505
758 2 -1.74 0.254
759 1 0.143 0.337
760 2 1.19 -0.404
761 2 -0.16 -1.36
762 2 1.29 0.153
763 1 1.47 -0.312
764 2 -0.853 -1.17
765 1 -0.377 0.607
766 1 0.816 0.306
767 1 1.16 -1.08
768 1 0.378 -0.56
769 2 -0.567 -1.14
770 1 0.934 0.258
771 1 1.01 -0.743
772 1 0.96 -0.9
773 1 -0.249 0.0234
774 2 1.45 -0.26
775 2 -0.497 1.07
776 2 0.827 0.755
777 2 0.604 0.374
778 1 2.51 1.11
779 1 0.154 -0.653
780 1 -0.264 -0.768
781 1 -0.573 -0.789
782 2 0.792 0.988
783 2 -0.0338 1.52
784 2 1.59 -0.522
785 1 -0.61 -0.306
786 1 0.184 1.7
787 1 0.0317 -0.821
788 2 0.781 0.415
789 2 0.118 -1.37
790 2 -1.57 0.942
791 2 0.415 1.8
792 2 0.552 2.05
793 2 -1.21 -0.934
794 1 -2.14 -0.476
795 2 0.0154 -1.41
796 2 -0.0789 -1.35
797 2 -0.397 1.32
798 1 -0.466 0.145
799 2 0.238 -1.51
800 2 -0.433 -1.13
801 2 1.3 0.555
802 2 0.0991 -1.05
803 1 0.59 -0.796
804 1 -0.235 -0.617
805 1 0.796 0.429
806 1 -1.97 -0.271
807 2 0.284 2.37
808 1 -0.39 -0.209
809 1 0.165 -0.405
810 2 -0.424 2.01
811 2 -0.934 -1.58
812 1 0.218 -0.368
813 1 -0.283 1.88
814 2 -0.347 -1.5
815 2 -0.342 -1.31
816 1 0.313 0.189
817 1 -0.341 -0.0358
818 2 -0.00698 -1.15
819 1 -1.73 -1.3
820 1 -0.451 0.775
821 1 -1.62 -0.712
822 1 -0.862 -0.0613
823 2 -0.828 -0.839
824 2 -1.01 1.07
825 2 1.02 0.858
826 1 -0.255 0.387
827 1 0.118 0.13
828 1 -0.786 -0.64
829 1 -0.0895 1.65
830 1 2.46 1.23
831 2 -0.803 -0.705
832 2 -0.618 -1.2
833 2 0.713 1.02
834 1 0.976 -1.53
835 1 1.47 1.21
836 1 -1.97 -0.674
837 2 -0.012 1.42
838 1 0.748 -0.558
839 1 -1.45 -0.203
840 2 0.199 -0.86
841 1 -1.68 -0.51
842 2 0.56 0.491
843 2 0.216 -1.12
844 1 -0.232 -0.843
845 1 1.66 1.42
846 2 0.301 2.01
847 2 1.33 0.825
848 2 1.18 0.08
849 2 -1.59 0.138
850 2 1.78 -0.508
851 1 1.37 -1.52
852 1 0.802 0.431
853 1 0.913 -0.318
854 2 0.00564 -1.14
855 2 -1.08 1.31
856 2 0.379 1.37
857 2 -0.106 -0.933
858 1 0.854 -0.827
859 1 -1.47 -0.212
860 1 1.24 -1.33
861 2 -0.314 -0.984
862 2 -0.474 -0.911
863 1 0.659 -0.057
864 2 1.83 0.349
865 1 1.51 -1.15
866 2 -0.237 -1.4
867 2 0.016 -1.13
868 2 0.26 1.91
869 2 -0.104 -1.09
870 2 -0.724 -1.48
871 2 1.24 -0.145
872 2 -0.776 -1.26
873 2 1.16 0.0489
874 1 1.05 -2.08
875 2 0.143 1.05
876 1 -1.42 -1.51
877 2 1.21 0.642
878 2 0.551 1.48
879 2 0.191 1.72
880 2 0.345 -0.891
881 2 -0.396 -1.38
882 1 -1.59 -0.766
883 1 0.903 -1.17
884 2 1.57 -0.0908
885 2 1.18 0.913
886 1 -0.323 -0.264
887 2 -0.302 -1.22
888 1 -1.26 -0.296
889 1 0.874 -1.41
890 2 -0.885 1.05
891 1 -1.52 -0.74
892 1 -0.716 -0.194
893 1 -0.579 -0.397
894 2 -1.52 0.388
895 2 1.57 -0.566
896 2 -0.702 -1.2
897 2 -0.366 -0.882
898 1 1.45 -1.78
899 2 -1.22 0.831
900 1 1.39 -1.11
901 2 0.969 0.921
902 2 0.659 1.07
903 1 -0.238 0.126
904 1 -0.576 -0.463
905 2 0.171 -0.886
906 2 0.893 0.345
907 2 -1.49 0.885
908 1 0.258 0.309
909 2 -0.609 -0.917
910 2 1.05 0.651
911 1 -0.827 -0.506
912 2 0.374 -1.39
913 2 -0.784 0.969
914 1 1.08 1.42
915 1 0.146 -0.151
916 2 -1.93 0.603
917 2 -0.734 -1.09
918 1 -1.19 -0.529
919 1 0.0176 0.0932
920 2 1.72 -0.448
921 2 1.37 0.625
922 2 1.3 0.186
923 1 -0.0618 0.358
924 2 -0.929 -1.39
925 2 1.14 -0.0771
926 2 -0.85 -0.92
927 1 -1.78 -1.49
928 1 -1.86 -0.977
929 1 -0.699 -0.000578
930 2 -0.995 -1.39
931 1 -0.233 0.593
932 2 -0.415 1.48
933 1 -1.66 -0.792
934 2 -0.152 -0.669
935 1 -0.673 0.313
936 1 -1.24 -0.72
937 2 0.73 -0.37
938 1 -1.25 0.104
939 1 1.85 1.38
940 2 0.134 -0.922
941 1 0.546 -0.195
942 2 0.604 1.03
943 1 -1.13 -1.08
944 1 -1.13 0.193
945 2 -1.62 1.02
946 1 -1.07 -1.11
947 2 -0.443 1.86
948 1 0.0438 0.536
949 2 -0.262 -1.2
950 1 0.156 0.152
951 1 -0.311 0.995
952 2 0.639 1.2
953 1 -1.42 -0.36
954 2 -1.43 0.707
955 1 1.52 -1.34
956 1 -1.91 -2.24
957 2 0.132 2
958 1 2.06 1.12
959 2 0.512 -1.34
960 2 -0.138 -0.951
961 2 1.15 0.824
962 2 0.233 -1.29
963 2 -0.124 -1.27
964 1 0.0584 -0.638
965 1 0.486 0.245
966 1 -0.0227 0.163
967 1 1.15 1.16
968 2 0.834 1.24
969 1 -2.03 -1.65
970 2 0.0205 1.23
971 1 0.522 1.36
972 1 -0.801 -0.24
973 1 -0.178 -0.238
974 2 1.16 1.05
975 1 -1.94 -1.03
976 2 1.45 0.273
977 2 -1.07 1.16
978 2 0.413 -1.3
979 2 1.32 0.0928
980 1 0.322 1.68
981 2 -0.292 -1.32
982 2 0.206 1.19
983 2 -0.639 -1.37
984 1 0.407 1.67
985 2 0.144 1.56
986 2 -1.58 0.588
987 2 -1.58 0.807
988 1 0.683 -0.0347
989 2 -0.668 -1.13
990 1 -2.05 -1.4
991 1 -0.679 -0.0957
992 2 -0.924 1.45
993 2 -0.547 -1.31
994 2 0.0296 1.2
995 1 2.23 0.895
996 2 -0.56 -1.41
997 2 -0.558 -1.67
998 2 0.0598 -1.26
999 2 0.51 -1.15
1000 1 -0.122 -0.0671
1001 2 -0.502 -1.04
1002 1 1.41 -0.808
1003 1 -0.68 0.314
1004 1 -0.347 0.574
1005 2 -0.155 1.29
1006 2 1.18 0.0819
1007 2 1.8 -1
1008 2 -0.653 -0.734
1009 2 1.3 0.648
1010 1 0.265 -0.182
1011 1 0.896 0.36
1012 2 -0.945 -1.43
1013 1 -1.26 -1.01
1014 1 -1.65 -0.723
1015 2 -0.103 -1.71
1016 1 1.87 1.19
1017 1 0.839 -0.0819
1018 2 0.167 0.87
1019 2 -0.917 -0.863
1020 1 1.26 -0.912
1021 2 -0.786 -1.02
1022 1 2.81 1.3
1023 1 0.725 -0.54
1024 1 -0.709 -0.262
1025 2 0.56 -1.05
1026 1 2 0.078
1027 2 1.18 -0.0513
1028 2 -1.29 0.891
1029 2 0.126 -0.865
1030 2 1.31 -0.238
1031 2 1.62 -0.919
1032 2 0.918 0.82
1033 1 2.17 1.24
1034 1 0.433 0.38
1035 2 0.211 -1.28
1036 2 1.18 -0.0335
1037 1 -1.32 -0.403
1038 2 -0.0936 -1.28
1039 1 -0.812 -0.411
1040 2 0.933 1.21
1041 2 0.642 0.909
1042 1 1.16 1.48
1043 1 -0.54 -0.601
1044 1 -1.48 -0.682
1045 1 1.41 -1.48
1046 1 -1.63 -1.16
1047 2 0.663 1.7
1048 2 0.0329 1.88
1049 1 -1.08 -0.0594
1050 2 0.981 -0.0572
1051 1 -0.334 0.18
1052 1 -0.477 0.676
1053 1 1.12 -0.756
1054 2 1.36 0.482
1055 2 0.123 -1.62
1056 2 -0.259 0.996
1057 1 -0.0662 -0.479
1058 2 -1.4 0.553
